,name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,extracted_ghz,brand,final_family,model_only,socket_final,category_final,speed_ghz,turbo_ghz,cost_per_rank_point,cost_per_core
3776,Qualcomm MSM8974,,0.0,2021-02-01,Unknown,Mobile/Embedded,2265.0,,1,4,1,3312,35,,Qualcomm,Specialized/Generic ARM,MSM8974,Unknown,Embedded/IoT,2.27,,,
3777,Qualcomm MSM8974PRO-AA,,0.0,2021-02-01,Unknown,Mobile/Embedded,2265.0,,1,4,1,3409,4,,Qualcomm,Specialized/Generic ARM,MSM8974PRO-AA,Unknown,Embedded/IoT,2.27,,,
3778,Qualcomm MSM8974PRO-AB,,0.0,2021-04-01,Unknown,Mobile/Embedded,2265.0,,1,4,1,3363,17,,Qualcomm,Specialized/Generic ARM,MSM8974PRO-AB,Unknown,Embedded/IoT,2.27,,,
3779,Qualcomm MSM8974PRO-AC,,0.0,2021-02-01,Unknown,Mobile/Embedded,2457.0,,1,4,1,3379,76,,Qualcomm,Specialized/Generic ARM,MSM8974PRO-AC,Unknown,Embedded/IoT,2.46,,,
3780,Qualcomm MSM8992,,0.0,2021-03-01,Unknown,Mobile/Embedded,1824.0,,1,6,1,2747,22,,Qualcomm,Specialized/Generic ARM,MSM8992,Unknown,Embedded/IoT,1.82,,,
3781,Qualcomm MSM8994,,0.0,2021-03-01,Unknown,Mobile/Embedded,1958.0,,1,8,1,3169,5,,Qualcomm,Specialized/Generic ARM,MSM8994,Unknown,Embedded/IoT,1.96,,,
3782,Qualcomm MSM8996,,0.0,2021-04-01,Unknown,Mobile/Embedded,2150.0,,1,4,1,2696,14,,Qualcomm,Specialized/Generic ARM,MSM8996,Unknown,Embedded/IoT,2.15,,,
3783,Qualcomm MSM8996PRO-AB,,0.0,2021-01-01,Unknown,Mobile/Embedded,2150.0,,1,4,1,2510,32,,Qualcomm,Specialized/Generic ARM,MSM8996PRO-AB,Unknown,Embedded/IoT,2.15,,,
3784,"Qualcomm Technologies, Inc 450",,0.0,2022-04-01,Unknown,Mobile/Embedded,1804.0,,1,8,1,2265,1,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc 450",Unknown,Embedded/IoT,1.8,,,
3785,"Qualcomm Technologies, Inc APQ8009",,0.0,2021-03-01,Unknown,Mobile/Embedded,1267.0,,1,4,1,3749,6,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8009",Unknown,Embedded/IoT,1.27,,,
3786,"Qualcomm Technologies, Inc APQ8016",,0.0,2021-02-01,Unknown,Mobile/Embedded,1190.0,,1,4,1,3648,29,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8016",Unknown,Embedded/IoT,1.19,,,
3787,"Qualcomm Technologies, Inc APQ8017",,0.0,2021-02-01,Unknown,Mobile/Embedded,1401.0,,1,4,1,3524,15,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8017",Unknown,Embedded/IoT,1.4,,,
3788,"Qualcomm Technologies, Inc APQ8053",,0.0,2021-07-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2299,6,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8053",Unknown,Embedded/IoT,2.02,,,
3789,"Qualcomm Technologies, Inc APQ8076",,0.0,2021-02-01,Unknown,Mobile/Embedded,1401.0,,1,8,1,2615,5,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8076",Unknown,Embedded/IoT,1.4,,,
3790,"Qualcomm Technologies, Inc APQ8094",,0.0,2022-10-01,Unknown,Mobile/Embedded,1958.0,,1,8,1,2160,1,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8094",Unknown,Embedded/IoT,1.96,,,
3791,"Qualcomm Technologies, Inc APQ8096",,0.0,2021-02-01,Unknown,Mobile/Embedded,2150.0,,1,4,1,2476,18,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8096",Unknown,Embedded/IoT,2.15,,,
3792,"Qualcomm Technologies, Inc APQ8096pro",,0.0,2022-08-01,Unknown,Mobile/Embedded,2342.0,,1,4,1,3252,1,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc APQ8096pro",Unknown,Embedded/IoT,2.34,,,
3793,"Qualcomm Technologies, Inc ATOLL-AB",,0.0,2021-02-01,Unknown,Mobile/Embedded,2323.0,,1,8,1,1642,175,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc ATOLL-AB",Unknown,Embedded/IoT,2.32,,,
3794,"Qualcomm Technologies, Inc BENGAL",,0.0,2021-01-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2048,638,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc BENGAL",Unknown,Embedded/IoT,2.02,,,
3795,"Qualcomm Technologies, Inc BENGAL-IOT",,0.0,2022-05-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2214,2,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc BENGAL-IOT",Unknown,Embedded/IoT,2.02,,,
3796,"Qualcomm Technologies, Inc BENGALP",,0.0,2021-02-01,Unknown,Mobile/Embedded,2016.0,,1,8,1,2014,26,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc BENGALP",Unknown,Embedded/IoT,2.02,,,
3797,"Qualcomm Technologies, Inc KHAJE",,0.0,2022-02-01,Unknown,Mobile/Embedded,2400.0,,1,8,1,1686,26,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc KHAJE",Unknown,Embedded/IoT,2.4,,,
